scenario,label,ms
cold,count_all,13.021
cold,kpi_by_appt_type,7.924
cold,kpi_by_department,8.073
cold,kpi_by_site,8.878
cold,top_groups_present,717.051
cold,kpi_by_appt_type_site,10.173
cold,kpi_by_age_group,13.736
cold,kpi_by_provider_role,8.140
cold,top_groups_full,821.015
warm,count_all,1.877
warm,kpi_by_appt_type,6.661
warm,kpi_by_department,7.646
warm,kpi_by_site,7.587
warm,top_groups_present,657.794
warm,kpi_by_appt_type_site,9.230
warm,kpi_by_age_group,12.893
warm,kpi_by_provider_role,6.952
warm,top_groups_full,683.043
