group_obj,visits
"{""site"": ""Main"", ""weekday"": ""Thu"", ""modality"": ""InPerson"", ""age_group"": ""Geriatric"", ""appt_type"": ""FollowUp"", ""insurance"": ""SelfPay"", ""department"": ""Cardiology"", ""visit_hour"": ""10:00"", ""provider_role"": ""Attending""}",6
"{""site"": ""Annex"", ""weekday"": ""Thu"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""Urgent"", ""insurance"": ""Private"", ""department"": ""Orthopedics"", ""visit_hour"": ""11:00"", ""provider_role"": ""Attending""}",5
"{""site"": ""Main"", ""weekday"": ""Thu"", ""modality"": ""InPerson"", ""age_group"": ""Peds"", ""appt_type"": ""Urgent"", ""insurance"": ""Government"", ""department"": ""Imaging"", ""visit_hour"": ""09:00"", ""provider_role"": ""NP/PA""}",5
"{""site"": ""Downtown"", ""weekday"": ""Mon"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""Urgent"", ""insurance"": ""Private"", ""department"": ""General"", ""visit_hour"": ""10:00"", ""provider_role"": ""Resident""}",5
"{""site"": ""Main"", ""weekday"": ""Wed"", ""modality"": ""Virtual"", ""age_group"": ""Peds"", ""appt_type"": ""Teleconsult"", ""insurance"": ""SelfPay"", ""department"": ""General"", ""visit_hour"": ""09:00"", ""provider_role"": ""NP/PA""}",5
"{""site"": ""Main"", ""weekday"": ""Thu"", ""modality"": ""Virtual"", ""age_group"": ""Adult"", ""appt_type"": ""Teleconsult"", ""insurance"": ""Government"", ""department"": ""General"", ""visit_hour"": ""14:00"", ""provider_role"": ""NP/PA""}",5
"{""site"": ""Main"", ""weekday"": ""Tue"", ""modality"": ""InPerson"", ""age_group"": ""Geriatric"", ""appt_type"": ""NewPatient"", ""insurance"": ""Private"", ""department"": ""Cardiology"", ""visit_hour"": ""09:00"", ""provider_role"": ""Attending""}",5
"{""site"": ""Downtown"", ""weekday"": ""Mon"", ""modality"": ""InPerson"", ""age_group"": ""Peds"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""Orthopedics"", ""visit_hour"": ""14:00"", ""provider_role"": ""NP/PA""}",5
"{""site"": ""Main"", ""weekday"": ""Tue"", ""modality"": ""Virtual"", ""age_group"": ""Geriatric"", ""appt_type"": ""Teleconsult"", ""insurance"": ""Government"", ""department"": ""Cardiology"", ""visit_hour"": ""14:00"", ""provider_role"": ""Attending""}",5
"{""site"": ""Main"", ""weekday"": ""Wed"", ""modality"": ""InPerson"", ""age_group"": ""Geriatric"", ""appt_type"": ""FollowUp"", ""insurance"": ""SelfPay"", ""department"": ""Cardiology"", ""visit_hour"": ""09:00"", ""provider_role"": ""NP/PA""}",5
"{""site"": ""Downtown"", ""weekday"": ""Thu"", ""modality"": ""InPerson"", ""age_group"": ""Peds"", ""appt_type"": ""Procedure"", ""insurance"": ""Private"", ""department"": ""General"", ""visit_hour"": ""10:00"", ""provider_role"": ""NP/PA""}",5
"{""site"": ""Main"", ""weekday"": ""Tue"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""NewPatient"", ""insurance"": ""Government"", ""department"": ""General"", ""visit_hour"": ""08:00"", ""provider_role"": ""Attending""}",5
