scenario,label,ms
cold,count_all,3.741
cold,kpi_by_admission_type,6.601
cold,kpi_by_admission_type_site,9.761
cold,kpi_by_age_group,6.592
cold,kpi_by_payer,7.161
cold,kpi_by_site,6.704
cold,kpi_by_ward,7.248
cold,top_groups_full,727.803
cold,top_groups_present,396.497
warm,count_all,1.911
warm,kpi_by_admission_type,6.323
warm,kpi_by_admission_type_site,8.645
warm,kpi_by_age_group,6.445
warm,kpi_by_payer,6.598
warm,kpi_by_site,8.527
warm,kpi_by_ward,7.775
warm,top_groups_full,660.371
warm,top_groups_present,472.809
