group_obj,visits
"{""site"": ""Annex"", ""ward"": ""ICU"", ""payer"": ""SelfPay"", ""weekday"": ""Mon"", ""age_group"": ""Adult"", ""admit_hour"": ""20:00"", ""admission_type"": ""Emergency"", ""arrival_source"": ""Transfer""}",8
"{""site"": ""Main"", ""ward"": ""Surgical"", ""payer"": ""Private"", ""weekday"": ""Thu"", ""age_group"": ""Adult"", ""admit_hour"": ""04:00"", ""admission_type"": ""Emergency"", ""arrival_source"": ""Clinic""}",8
"{""site"": ""Main"", ""ward"": ""Medical"", ""payer"": ""Public"", ""weekday"": ""Sat"", ""age_group"": ""Peds"", ""admit_hour"": ""12:00"", ""admission_type"": ""Elective"", ""arrival_source"": ""Clinic""}",8
"{""site"": ""Annex"", ""ward"": ""ICU"", ""payer"": ""Private"", ""weekday"": ""Wed"", ""age_group"": ""Adult"", ""admit_hour"": ""20:00"", ""admission_type"": ""Emergency"", ""arrival_source"": ""Direct""}",8
"{""site"": ""Annex"", ""ward"": ""StepDown"", ""payer"": ""SelfPay"", ""weekday"": ""Fri"", ""age_group"": ""Peds"", ""admit_hour"": ""16:00"", ""admission_type"": ""Emergency"", ""arrival_source"": ""ED""}",8
"{""site"": ""Main"", ""ward"": ""ICU"", ""payer"": ""SelfPay"", ""weekday"": ""Sat"", ""age_group"": ""Adult"", ""admit_hour"": ""00:00"", ""admission_type"": ""Emergency"", ""arrival_source"": ""ED""}",8
"{""site"": ""Annex"", ""ward"": ""Surgical"", ""payer"": ""SelfPay"", ""weekday"": ""Wed"", ""age_group"": ""Peds"", ""admit_hour"": ""00:00"", ""admission_type"": ""Elective"", ""arrival_source"": ""Direct""}",8
"{""site"": ""Main"", ""ward"": ""Surgical"", ""payer"": ""Public"", ""weekday"": ""Tue"", ""age_group"": ""Adult"", ""admit_hour"": ""12:00"", ""admission_type"": ""Elective"", ""arrival_source"": ""Direct""}",8
"{""site"": ""Main"", ""ward"": ""StepDown"", ""payer"": ""Public"", ""weekday"": ""Thu"", ""age_group"": ""Peds"", ""admit_hour"": ""08:00"", ""admission_type"": ""Elective"", ""arrival_source"": ""Transfer""}",8
"{""site"": ""Main"", ""ward"": ""StepDown"", ""payer"": ""SelfPay"", ""weekday"": ""Tue"", ""age_group"": ""Peds"", ""admit_hour"": ""08:00"", ""admission_type"": ""Elective"", ""arrival_source"": ""Transfer""}",8
"{""site"": ""Annex"", ""ward"": ""StepDown"", ""payer"": ""SelfPay"", ""weekday"": ""Mon"", ""age_group"": ""Adult"", ""admit_hour"": ""08:00"", ""admission_type"": ""Emergency"", ""arrival_source"": ""Transfer""}",8
"{""site"": ""Main"", ""ward"": ""Surgical"", ""payer"": ""Public"", ""weekday"": ""Sun"", ""age_group"": ""Peds"", ""admit_hour"": ""04:00"", ""admission_type"": ""Emergency"", ""arrival_source"": ""ED""}",8
