scenario,label,ms
cold,count_all,5.191
cold,kpi_by_payer,15.859
cold,kpi_by_site,12.046
cold,kpi_by_admission_type_site,18.128
cold,kpi_by_ward,12.210
cold,top_groups_present,1022.577
cold,kpi_by_age_group,8.814
cold,top_groups_full,750.864
cold,kpi_by_admission_type,9.495
warm,count_all,2.188
warm,kpi_by_payer,7.918
warm,kpi_by_site,7.974
warm,kpi_by_admission_type_site,10.453
warm,kpi_by_ward,6.676
warm,top_groups_present,649.836
warm,kpi_by_age_group,7.201
warm,top_groups_full,733.469
warm,kpi_by_admission_type,7.624
